,Class i,Class j,Statistic,P-value(rounded),P-value(exp)
2890,35.0,56.0,10.399490047852716,0.0,1.9916477772233427e-24
2891,35.0,57.0,10.32446237056085,0.0,4.402015225016736e-24
2892,35.0,58.0,-0.11137758548089091,0.911332,0.9113318655404219
2893,35.0,59.0,10.36692603900296,0.0,2.407528569599234e-24
2894,35.0,60.0,13.643267529875644,0.0,8.790396971520661e-40
2895,35.0,61.0,13.351418967039127,0.0,1.6522103447316715e-38
2896,35.0,62.0,11.852449618221586,0.0,7.0821344864972e-31
2897,35.0,63.0,14.605693151066095,0.0,1.0861173670524431e-44
2898,35.0,64.0,18.25671106219972,0.0,1.5837350570472709e-65
2899,35.0,65.0,11.797310336039612,0.0,6.860501224048985e-31
2900,35.0,66.0,17.47361502092949,0.0,3.741219825230919e-61
2901,35.0,67.0,17.90389033938152,0.0,1.865479158083648e-63
2902,35.0,68.0,18.334378428189755,0.0,4.748343494501322e-66
2903,35.0,69.0,9.563004622235052,0.0,3.4890735868433585e-21
2904,35.0,70.0,8.473057326128584,0.0,5.0919856734655474e-17
2905,35.0,71.0,5.378406843874644,0.0,8.523755678687034e-08
2906,35.0,72.0,-9.204784893736047,0.0,1.8872425108110434e-19
2907,35.0,73.0,-1.5444669100714314,0.122657,0.12265727997485565
2908,35.0,74.0,12.500494961764879,0.0,3.8168501243578175e-34
2909,35.0,75.0,-8.638711757624534,0.0,2.0477445811943422e-17
2910,35.0,76.0,0.6551612953420548,0.512448,0.512448430636056
2911,35.0,77.0,-1.0942260927320147,0.274014,0.2740135512682285
2912,35.0,78.0,16.35373627505344,0.0,1.9707182035813635e-54
2913,35.0,79.0,17.06950930787777,0.0,1.1825719956675569e-58
2914,35.0,80.0,12.090565713046324,0.0,3.393752486099019e-32
2915,35.0,81.0,16.32073848595383,0.0,3.084900792073628e-54
2916,35.0,82.0,13.990316275487768,0.0,9.403599178109436e-42
2917,35.0,83.0,16.487435562337076,0.0,2.313677786874912e-55
2918,35.0,84.0,15.604734219021642,0.0,3.3872650383962985e-50
2919,35.0,85.0,11.420811063771417,0.0,4.3195753774765796e-29
2920,35.0,86.0,18.580984104703038,0.0,1.1909203023224058e-67
2921,35.0,87.0,18.913737419292048,0.0,5.488482719142543e-70
2922,35.0,88.0,16.776890617645662,0.0,5.373816017462233e-57
2923,35.0,89.0,11.498904097299901,0.0,1.9526201416602935e-29
2924,35.0,90.0,9.554588043379114,0.0,4.06303970444442e-21
2925,35.0,91.0,17.171583327059835,0.0,2.5839837867094846e-59
2926,35.0,92.0,16.463350388100643,0.0,2.7969521773106494e-55
2927,35.0,93.0,-4.939501157516155,1e-06,8.908457451619702e-07
2928,35.0,94.0,14.025417798032647,0.0,3.6662637161642177e-42
2929,35.0,95.0,11.254537370510654,0.0,2.2244067910391776e-28
2930,35.0,96.0,-7.795149589596702,0.0,1.525019846278025e-14
2931,35.0,97.0,17.341150632874857,0.0,2.665379833719138e-60
2932,35.0,98.0,18.772239187647482,0.0,5.864676012899421e-69
2933,35.0,99.0,13.30972306610717,0.0,2.884983569878149e-38
2934,36.0,37.0,4.433851440115819,1e-05,9.826766947769831e-06
2935,36.0,38.0,14.513738376450553,0.0,1.391692484780893e-44
2936,36.0,39.0,18.852844131321266,0.0,7.516270634392803e-70
2937,36.0,40.0,5.527047035412529,0.0,3.7570655800941866e-08
2938,36.0,41.0,9.427333855952043,0.0,1.2991145319158692e-20
2939,36.0,42.0,16.123688995087154,0.0,1.013127584912186e-53
2940,36.0,43.0,16.374058647184306,0.0,1.0738883749150734e-54
2941,36.0,44.0,5.120815069355712,0.0,3.374371848779278e-07
2942,36.0,45.0,-1.651083867984352,0.09895,0.09894980672380832
2943,36.0,46.0,16.03047164232832,0.0,5.498002094376314e-53
2944,36.0,47.0,9.980359800809712,0.0,8.962439807868013e-23
2945,36.0,48.0,3.2853755134209974,0.001039,0.0010389794281746329
2946,36.0,49.0,-3.6500563898056173,0.000273,0.0002728254057661026
2947,36.0,50.0,11.717034718444042,0.0,2.332332989500813e-30
2948,36.0,51.0,13.099312594928874,0.0,4.714890070251597e-37
2949,36.0,52.0,8.67809548890894,0.0,1.158133714228011e-17
2950,36.0,53.0,12.40498421969735,0.0,1.0468626607915895e-33
2951,36.0,54.0,22.37150851742816,0.0,1.2038787430860001e-91
2952,36.0,55.0,15.352934014687914,0.0,5.194068180795789e-49
2953,36.0,56.0,17.067549487019868,0.0,9.12346195257947e-59
2954,36.0,57.0,17.07727660326448,0.0,1.273136144199351e-58
2955,36.0,58.0,5.8867368813662795,0.0,4.926069825018581e-09
2956,36.0,59.0,16.810102433456514,0.0,1.2978278036537217e-57
2957,36.0,60.0,20.32798784814704,0.0,3.118005877305967e-79
2958,36.0,61.0,19.780640920357474,0.0,1.0051816164787954e-76
2959,36.0,62.0,18.57257425025577,0.0,7.651910330073044e-68
2960,36.0,63.0,21.456601068537715,0.0,1.0171150228817657e-85
2961,36.0,64.0,25.23374158463439,0.0,1.187099589015916e-109
2962,36.0,65.0,18.000364060899475,0.0,1.0536476109795119e-65
2963,36.0,66.0,24.33870572652085,0.0,7.845257134825568e-105
2964,36.0,67.0,24.859836430200442,0.0,2.1471752308145718e-107
2965,36.0,68.0,25.299317466856078,0.0,3.1535156520782014e-110
2966,36.0,69.0,15.260996277592378,0.0,2.0648473010053147e-49
2967,36.0,70.0,14.458168940397982,0.0,1.4453962128300767e-44
2968,36.0,71.0,11.33353089843929,0.0,1.0562330036575076e-28
2969,36.0,72.0,-7.972442144324953,0.0,4.143892466372996e-15
2970,36.0,73.0,2.9121643567535154,0.003636,0.0036360474146852166
